instance_id,region,av_zone,instance_type,generation,modifiers,size,n_timestep,rmse,mape,smape_std,smape_cv,smape,direction_accuracy
72,us-east-1,b,c7i.4xlarge,7,['i'],4xlarge,0,0.0028460379061210125,1.0540810682534767,0.3700413322365213,0.3531581010244228,1.0478064389946726,0.3333333333333333
72,us-east-1,b,c7i.4xlarge,7,['i'],4xlarge,4,0.008646927176178387,3.2787404373067695,0.6100560183985783,0.18953835307563832,3.2186415493181246,0.4444444444444444
72,us-east-1,b,c7i.4xlarge,7,['i'],4xlarge,8,0.014567517549796148,5.608801788007369,0.6160363908495471,0.11340145564859959,5.432349940537598,0.5555555555555555
72,us-east-1,b,c7i.4xlarge,7,['i'],4xlarge,12,0.021995787183790454,8.713394341236167,1.081159552970193,0.13030792855152115,8.296959095184482,0.0
160,us-east-1,b,c6a.12xlarge,6,['a'],12xlarge,0,0.004628529090844673,0.42612761977979186,0.340350333906636,0.8021293806846997,0.4243085244129969,0.2222222222222222
160,us-east-1,b,c6a.12xlarge,6,['a'],12xlarge,4,0.012540115410769742,1.4131897978848145,0.3005312588489701,0.21480099672615363,1.3991148245560172,0.1111111111111111
160,us-east-1,b,c6a.12xlarge,6,['a'],12xlarge,8,0.02292894834282826,2.555002355353118,0.4874604189443698,0.19434898625925706,2.508170628140601,0.3333333333333333
160,us-east-1,b,c6a.12xlarge,6,['a'],12xlarge,12,0.03170260518369356,3.490216939029359,0.4169532640223485,0.12267511510020379,3.39884143317715,0.2222222222222222
233,us-east-1,d,c7g.xlarge,7,['g'],xlarge,0,0.0044173233209836155,9.089578330077545,3.408628680290816,0.39486587467915546,8.632370885583528,0.2222222222222222
233,us-east-1,d,c7g.xlarge,7,['g'],xlarge,4,0.01071970295760413,27.018955895379648,4.898632130619403,0.20707585509152276,23.656220704506186,0.4444444444444444
233,us-east-1,d,c7g.xlarge,7,['g'],xlarge,8,0.01773747295227231,55.98344514425754,6.1834896731015965,0.142339543433471,43.44182596027321,0.5555555555555555
233,us-east-1,d,c7g.xlarge,7,['g'],xlarge,12,0.025265034741502164,108.09004700364723,8.267216877219221,0.11911008097575577,69.4082046581932,0.5555555555555555
256,us-east-1,a,c5a.4xlarge,5,['a'],4xlarge,0,0.002463730003686992,0.18784630514062226,0.13326335637471637,0.7080867297060482,0.18820202495538743,0.5555555555555555
256,us-east-1,a,c5a.4xlarge,5,['a'],4xlarge,4,0.0038431875899644988,0.357232677385163,0.09887409330586587,0.276051387426361,0.3581727816247305,0.5555555555555555
256,us-east-1,a,c5a.4xlarge,5,['a'],4xlarge,8,0.005356968990381401,0.5253943908435305,0.037672318457953484,0.07145060313649162,0.527249831411336,0.4444444444444444
256,us-east-1,a,c5a.4xlarge,5,['a'],4xlarge,12,0.007109177439036827,0.7165300059387868,0.10099213233930236,0.14030679093523063,0.719795041039197,0.6666666666666666
302,us-east-1,f,c6id.2xlarge,6,"['i', 'd']",2xlarge,0,0.002832700695932643,0.5524860730835268,0.1693840259103302,0.30763065529822414,0.550608409770234,0.4444444444444444
302,us-east-1,f,c6id.2xlarge,6,"['i', 'd']",2xlarge,4,0.006612488585028099,1.2794803722283785,0.2574748178449262,0.20288413519560625,1.26907319587452,0.4444444444444444
302,us-east-1,f,c6id.2xlarge,6,"['i', 'd']",2xlarge,8,0.009563318146591155,1.936296059424972,0.21527592282122185,0.1124617253786244,1.9142150104531417,0.5555555555555555
302,us-east-1,f,c6id.2xlarge,6,"['i', 'd']",2xlarge,12,0.01311102905741343,2.718636759285159,0.24313535215297408,0.09084273523848556,2.676442442146653,0.5555555555555555
309,us-east-1,c,c6gd.xlarge,6,"['g', 'd']",xlarge,0,0.004665481190860154,8.716040470379186,3.0635100179976384,0.36898617698559244,8.302506188781313,0.3333333333333333
309,us-east-1,c,c6gd.xlarge,6,"['g', 'd']",xlarge,4,0.01086715434680836,24.25942822187733,4.393374462271407,0.20410483856152276,21.5250872700263,0.2222222222222222
309,us-east-1,c,c6gd.xlarge,6,"['g', 'd']",xlarge,8,0.01786766994047728,48.457169970843005,5.517657668482353,0.14215507527424223,38.8143557860162,0.4444444444444444
309,us-east-1,c,c6gd.xlarge,6,"['g', 'd']",xlarge,12,0.025843169893613512,90.01764362966207,7.426127868964467,0.12042389415232135,61.66656477302862,0.2222222222222222
324,us-east-1,a,c5d.large,5,['d'],large,0,0.004516637763442463,15.88038310868909,5.663858255762848,0.3896750276262994,14.534824800717074,0.4444444444444444
324,us-east-1,a,c5d.large,5,['d'],large,4,0.01078256649627151,52.740507230926625,9.177070477728341,0.2228805014317888,41.174846694864094,0.3333333333333333
324,us-east-1,a,c5d.large,5,['d'],large,8,0.018078774224722337,146.69945893819988,14.358920308117655,0.17393881828916688,82.55155720470907,0.4444444444444444
324,us-east-1,a,c5d.large,5,['d'],large,12,0.02602290778568656,2300.456904210846,23.373970561907228,0.1576009688836247,148.31108417339092,0.2222222222222222
380,us-east-1,d,c7i.4xlarge,7,['i'],4xlarge,0,0.0029047497750281505,0.8642492786360894,0.2575674607828156,0.299651380897612,0.8595570626481576,0.4444444444444444
380,us-east-1,d,c7i.4xlarge,7,['i'],4xlarge,4,0.006839901788968333,2.1853510835567285,0.4709692894396776,0.21817937189385006,2.1586334461940626,0.3333333333333333
380,us-east-1,d,c7i.4xlarge,7,['i'],4xlarge,8,0.012623061816847922,4.145183358506967,0.9115931146241069,0.22491499885053676,4.053056129128541,0.2222222222222222
